3,black,3,3,5,3,0,3,street1.png
3,black,4,7,0,0,0,0,street2.png
3,black,4,6,3,0,3,0,street2.png
3,black,5,7,0,0,3,0,street1.png
3,blue,3,3,3,0,5,3,venice.png
3,blue,4,0,0,0,0,7,venice.png
3,blue,4,0,0,3,3,6,diamant-shop.png
3,blue,5,0,0,3,0,7,diamant-shop.png
3,white,3,5,3,3,3,0,building-white.png
3,white,4,0,0,0,7,0,gioielleria.png
3,white,4,3,0,0,6,3,gioielleria.png
3,white,5,0,0,0,7,3,building-white.png
3,green,3,3,0,3,3,5,timbered-house.png
3,green,4,0,0,7,0,0,bridge.png
3,green,4,0,3,6,0,3,bridge.png
3,green,5,0,3,7,0,0,timbered-house.png
3,red,3,0,3,5,3,3,equestrian-statue.png
3,red,4,0,7,0,0,0,equestrian-statue.png
3,red,4,3,6,3,0,0,building-red.png
3,red,5,3,7,0,0,0,building-red.png
